('Episode: 144', 'Reward: 480.0', 'Loss: 1.26116788387', 'Explore P: 0.1000')
('Episode: 145', 'Reward: 1990.0', 'Loss: 1.19749903679', 'Explore P: 0.1000')
('Episode: 146', 'Reward: 540.0', 'Loss: 1.27728593349', 'Explore P: 0.1000')
('Episode: 147', 'Reward: 2110.0', 'Loss: 2.71644043922', 'Explore P: 0.1000')
('Episode: 148', 'Reward: 500.0', 'Loss: 1.6453397274', 'Explore P: 0.1000')
('Episode: 149', 'Reward: 320.0', 'Loss: 1.29789125919', 'Explore P: 0.1000')
('Episode: 150', 'Reward: 760.0', 'Loss: 11.2972831726', 'Explore P: 0.1000')
Model Saved
('Episode: 151', 'Reward: 1490.0', 'Loss: 7.69511270523', 'Explore P: 0.1000')
('Episode: 152', 'Reward: 600.0', 'Loss: 3.34707283974', 'Explore P: 0.1000')
('Episode: 153', 'Reward: 640.0', 'Loss: 3.37528824806', 'Explore P: 0.1000')
('Episode: 154', 'Reward: 440.0', 'Loss: 3.882386446', 'Explore P: 0.1000')
('Episode: 155', 'Reward: 750.0', 'Loss: 2.68105268478', 'Explore P: 0.1000')
('Episode: 156', 'Reward: 460.0', 'Loss: 3.82161092758', 'Explore P: 0.1000')
('Episode: 157', 'Reward: 780.0', 'Loss: 2.42591190338', 'Explore P: 0.1000')
('Episode: 158', 'Reward: 320.0', 'Loss: 2.584025383', 'Explore P: 0.1000')
('Episode: 159', 'Reward: 990.0', 'Loss: 4.92877578735', 'Explore P: 0.1000')
('Episode: 160', 'Reward: 540.0', 'Loss: 4.76610469818', 'Explore P: 0.1000')
('Episode: 161', 'Reward: 2290.0', 'Loss: 2.40183067322', 'Explore P: 0.1000')
('Episode: 162', 'Reward: 660.0', 'Loss: 1.88178682327', 'Explore P: 0.1000')
('Episode: 163', 'Reward: 930.0', 'Loss: 3.00354576111', 'Explore P: 0.1000')
('Episode: 164', 'Reward: 460.0', 'Loss: 2.54245638847', 'Explore P: 0.1000')
('Episode: 165', 'Reward: 1690.0', 'Loss: 1.88527131081', 'Explore P: 0.1000')
('Episode: 166', 'Reward: 990.0', 'Loss: 2.84033203125', 'Explore P: 0.1000')
('Episode: 167', 'Reward: 480.0', 'Loss: 1.56205809116', 'Explore P: 0.1000')
('Episode: 168', 'Reward: 360.0', 'Loss: 4.37662315369', 'Explore P: 0.1000')
('Episode: 169', 'Reward: 2180.0', 'Loss: 2.21770238876', 'Explore P: 0.1000')
('Episode: 170', 'Reward: 520.0', 'Loss: 2.55943965912', 'Explore P: 0.1000')
('Episode: 171', 'Reward: 580.0', 'Loss: 2.45746731758', 'Explore P: 0.1000')
('Episode: 172', 'Reward: 1420.0', 'Loss: 2.07749986649', 'Explore P: 0.1000')
('Episode: 173', 'Reward: 540.0', 'Loss: 1.50681018829', 'Explore P: 0.1000')
